Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Appearances,Age,Nationality,Rank
2024/25,359869.0,Archie Gray,Archie,Gray,M,14.0,Central Midfielder,Tottenham Hotspur,TOT,1.0,18 years 164 days,England,1.0
2024/25,360794.0,Jacob Greaves,Jacob,Greaves,D,24.0,Central Defender,Ipswich Town,IPS,1.0,23 years 346 days,England,1.0
2024/25,282013.0,Marc Guéhi,Marc,Guéhi,D,6.0,Centre Central Defender,Crystal Palace,CRY,1.0,24 years 41 days,England,1.0
2024/25,263465.0,Idrissa Gueye,Idrissa,Gueye,M,27.0,Centre Defensive Midfielder,Everton,EVE,1.0,34 years 332 days,Senegal,1.0
2024/25,302712.0,Bruno Guimarães,Bruno,Guimarães Rodriguez Moura,M,39.0,Centre Defensive Midfielder,Newcastle United,NEW,1.0,26 years 281 days,Brazil,1.0
2024/25,359467.0,Marc Guiu,Marc,Guiu,F,38.0,Centre Striker,Chelsea,CHE,1.0,18 years 232 days,Spain,1.0
2024/25,338125.0,Malo Gusto,Malo,Gusto,D,27.0,Right Full Back,Chelsea,CHE,1.0,21 years 96 days,France,1.0
2024/25,343671.0,Josko Gvardiol,Josko,Gvardiol,D,24.0,Defender,Manchester City,MCI,1.0,22 years 213 days,Croatia,1.0
2024/25,312560.0,Erling Haaland,Erling,Haaland,F,9.0,Centre Striker,Manchester City,MCI,1.0,24 years 33 days,Norway,1.0
2024/25,359413.0,Lewis Hall,Lewis,Hall,D,20.0,Left Full Back,Newcastle United,NEW,1.0,19 years 350 days,England,1.0
2024/25,318611.0,Marcus Harness,Marcus,Harness,M,11.0,Left/Centre/Right Attacking Midfielder,Ipswich Town,IPS,1.0,28 years 181 days,Ireland,1.0
2024/25,349224.0,Jack Harrison,Jack,Harrison,M,7.0,Midfielder,Everton,EVE,1.0,27 years 277 days,England,1.0
2024/25,359415.0,Taylor Harwood-Bellis,Taylor,Harwood-Bellis,D,6.0,Centre Central Defender,Southampton,SOU,1.0,22 years 206 days,England,1.0
2024/25,340669.0,Kai Havertz,Kai,Havertz,M,29.0,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,1.0,25 years 73 days,Germany,1.0
2024/25,346759.0,Dean Henderson,Dean,Henderson,G,1.0,Goalkeeper,Crystal Palace,CRY,1.0,27 years 164 days,England,1.0
2024/25,342190.0,Mads Hermansen,Mads,Hermansen,G,30.0,Goalkeeper,Leicester City,LEI,1.0,24 years 43 days,Denmark,1.0
2024/25,335797.0,Jack Hinshelwood,Jack,Hinshelwood,M,41.0,Centre Defensive Midfielder,Brighton & Hove Albion,BHA,1.0,19 years 134 days,England,1.0
2024/25,316561.0,Andreas Pereira,Andreas Hugo,Hoelgebaum Pereira,M,18.0,Attacking Midfielder,Fulham,FUL,1.0,28 years 235 days,Brazil,1.0
2024/25,357711.0,Mason Holgate,Mason,Holgate,D,5.0,Defender,n/a,n/a,1.0,27 years 306 days,England,1.0
2024/25,347498.0,Callum Hudson-Odoi,Callum,Hudson-Odoi,F,14.0,Left Winger,Nottingham Forest,NFO,1.0,23 years 290 days,England,1.0
2024/25,288559.0,Will Hughes,Will,Hughes,M,19.0,Centre Central Midfielder,Crystal Palace,CRY,1.0,29 years 128 days,England,1.0
2024/25,362102.0,Dean Huijsen,Dean,Huijsen,D,2.0,Centre Central Defender,Bournemouth,BOU,1.0,19 years 131 days,Spain,1.0
2024/25,359410.0,Omari Hutchinson,Omari,Hutchinson,F,20.0,Right Winger,Ipswich Town,IPS,1.0,20 years 298 days,Jamaica,1.0
2024/25,312590.0,Hwang Hee-Chan,Hee-Chan,Hwang,F,11.0,Centre Striker,Wolverhampton Wanderers,WOL,1.0,28 years 210 days,South Korea,1.0
2024/25,336747.0,Danny Ings,Danny,Ings,F,n/a,Striker,West Ham United,WHU,1.0,32 years 31 days,England,1.0
2024/25,359184.0,Tim Iroegbunam,Tim,Iroegbunam,M,42.0,Centre Central Midfielder,Everton,EVE,1.0,21 years 54 days,England,1.0
2024/25,324327.0,Alexander Isak,Alexander,Isak,F,14.0,Centre Striker,Newcastle United,NEW,1.0,24 years 337 days,Sweden,1.0
2024/25,346851.0,Alex Iwobi,Alex,Iwobi,F,17.0,Left/Centre/Right Second Striker,Fulham,FUL,1.0,28 years 112 days,Nigeria,1.0
2024/25,340743.0,Nicolas Jackson,Nicolas,Jackson,F,15.0,Centre Second Striker,Chelsea,CHE,1.0,23 years 64 days,Senegal,1.0
2024/25,258703.0,Vitaly Janelt,Vitaly,Janelt,M,27.0,Centre Defensive Midfielder,Brentford,BRE,1.0,26 years 105 days,Germany,1.0
