Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,HitWoodwork,Age,Nationality,Rank
2023/24,315209.0,Giovani Lo Celso,Giovani,Lo Celso,M,17.0,Centre Attacking Midfielder,Tottenham Hotspur,TOT,1.0,28 years 136 days,Argentina,65.0
2023/24,360696.0,João Palhinha,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,M,16.0,Centre Defensive Midfielder,n/a,n/a,1.0,29 years 45 days,Portugal,65.0
2023/24,359330.0,Ian Maatsen,Ian,Maatsen,D,22.0,Left Full Back,n/a,n/a,1.0,22 years 166 days,Netherlands,65.0
2023/24,340453.0,Alexis Mac Allister,Alexis,Mac Allister,M,10.0,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,1.0,25 years 243 days,Argentina,65.0
2023/24,336789.0,Noni Madueke,Noni,Madueke,F,n/a,Winger,Chelsea,CHE,1.0,22 years 166 days,England,65.0
2023/24,166789.0,Gabriel Martinelli,Gabriel Teodoro,Martinelli Silva,M,n/a,Midfielder,Arsenal,ARS,1.0,23 years 66 days,Brazil,65.0
2023/24,346844.0,Neal Maupay,Neal,Maupay,F,7.0,Centre Striker,Everton,EVE,1.0,28 years 9 days,France,65.0
2023/24,340458.0,James Milner,James,Milner,M,6.0,Left/Centre/Right Central Midfielder,Brighton & Hove Albion,BHA,1.0,38 years 232 days,England,65.0
2023/24,44030.0,Bernardo Silva,Bernardo,Mota Veiga de Carvalho e Silva,M,20.0,Left/Centre Attacking Midfielder,Manchester City,MCI,1.0,30 years 13 days,Portugal,65.0
2023/24,336483.0,Mykhailo Mudryk,Mykhailo,Mudryk,M,10.0,Left Winger,Chelsea,CHE,1.0,23 years 231 days,Ukraine,65.0
2023/24,346778.0,Matheus Nunes,Matheus Luiz,Nunes,M,27.0,Central Midfielder,Manchester City,MCI,1.0,25 years 362 days,Portugal,65.0
2023/24,340667.0,Chiedozie Ogbene,Chiedozie,Ogbene,F,7.0,Left/Right Winger,Luton Town,LUT,1.0,27 years 114 days,Ireland,65.0
2023/24,346777.0,Cole Palmer,Cole,Palmer,M,20.0,Attacking Midfielder,Chelsea,CHE,1.0,22 years 109 days,England,65.0
2023/24,324030.0,Emerson,Emerson,Palmieri dos Santos,D,33.0,Left Full Back,West Ham United,WHU,1.0,30 years 20 days,Italy,65.0
2023/24,338755.0,Nathan Patterson,Nathan,Patterson,D,n/a,Right Full Back,Everton,EVE,1.0,22 years 312 days,Scotland,65.0
