Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,TotalHighClaim,Age,Nationality,Rank
2021/22,46085.0,Jordan Pickford,Jordan,Pickford,G,n/a,Goalkeeper,Everton,EVE,23.0,30 years 169 days,England,10.0
2021/22,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,22.0,31 years 326 days,Brazil,12.0
2021/22,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,22.0,34 years 264 days,England,12.0
2021/22,325525.0,Martin Dúbravka,Martin,Dúbravka,G,31.0,Goalkeeper,Newcastle United,NEW,21.0,35 years 221 days,Slovakia,14.0
2021/22,44029.0,Ederson,Ederson,Santana de Moraes,G,31.0,Goalkeeper,Manchester City,MCI,21.0,31 years 6 days,Brazil,14.0
2021/22,339679.0,Ben Foster,Ben,Foster,G,12.0,Goalkeeper,Watford,WAT,20.0,41 years 142 days,England,16.0
2021/22,312587.0,Fraser Forster,Fraser,Forster,G,20.0,Goalkeeper,n/a,n/a,18.0,36 years 159 days,England,17.0
2021/22,346855.0,Vicente Guaita,Vicente,Guaita,G,13.0,Goalkeeper,n/a,n/a,17.0,37 years 226 days,Spain,18.0
2021/22,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,15.0,37 years 292 days,Denmark,19.0
2021/22,354397.0,Tim Krul,Tim,Krul,G,n/a,Goalkeeper,n/a,n/a,14.0,36 years 142 days,Netherlands,20.0
2021/22,347041.0,Jack Butland,Jack,Butland,G,1.0,Goalkeeper,n/a,n/a,11.0,31 years 166 days,England,21.0
2021/22,362771.0,Álvaro Fernández,Álvaro,Fernández,G,1.0,Goalkeeper,n/a,n/a,9.0,26 years 132 days,Spain,22.0
2021/22,6011.0,David de Gea,David,de Gea,G,1.0,Goalkeeper,n/a,n/a,8.0,33 years 290 days,Spain,23.0
2021/22,180847.0,Daniel Bachmann,Daniel,Bachmann,G,26.0,Goalkeeper,Watford,WAT,7.0,30 years 45 days,Austria,24.0
2021/22,321656.0,Bernd Leno,Bernd,Leno,G,1.0,Goalkeeper,n/a,n/a,6.0,32 years 172 days,Germany,25.0
2021/22,343383.0,Karl Darlow,Karl,Darlow,G,26.0,Goalkeeper,n/a,n/a,5.0,33 years 320 days,England,26.0
2021/22,312582.0,Robin Olsen,Robin,Olsen,G,25.0,Goalkeeper,Aston Villa,AVL,5.0,34 years 228 days,Sweden,26.0
2021/22,363204.0,Asmir Begovic,Asmir,Begovic,G,n/a,Goalkeeper,n/a,n/a,3.0,37 years 64 days,Bosnia & Herzegovina,28.0
2021/22,277023.0,Angus Gunn,Angus,Gunn,G,1.0,Goalkeeper,Norwich City,NOR,3.0,28 years 214 days,Scotland,28.0
2021/22,313184.0,Freddie Woodman,Freddie,Woodman,G,1.0,Goalkeeper,Newcastle United,NEW,3.0,27 years 172 days,England,28.0
2021/22,345016.0,Kepa,Kepa,Arrizabalaga Revuelta,G,25.0,Goalkeeper,Chelsea,CHE,2.0,29 years 325 days,Spain,31.0
2021/22,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,West Ham United,WHU,1.0,31 years 178 days,France,32.0
2021/22,334293.0,Willy Caballero,Willy,Caballero,G,1.0,Goalkeeper,Southampton,SOU,1.0,42 years 330 days,Argentina,32.0
2021/22,299538.0,Jonas Lössl,Jonas,Lössl,G,49.0,Goalkeeper,Brentford,BRE,1.0,35 years 204 days,Denmark,32.0
2021/22,359411.0,John Ruddy,John,Ruddy,G,26.0,Goalkeeper,n/a,n/a,1.0,37 years 304 days,England,32.0
2021/22,356706.0,Jed Steer,Jed,Steer,G,31.0,Goalkeeper,n/a,n/a,1.0,31 years 335 days,England,32.0
2021/22,357590.0,Danny Ward,Danny,Ward,G,n/a,Goalkeeper,Leicester City,LEI,1.0,31 years 62 days,Wales,32.0
2021/22,318563.0,Wayne Hennessey,Wayne,Hennessey,G,13.0,Goalkeeper,Burnley,BUR,0.0,37 years 212 days,Wales,38.0
2020/21,252275.0,Emiliano Martínez,Emiliano,Martínez,G,23.0,Goalkeeper,Aston Villa,AVL,42.0,31 years 356 days,Argentina,1.0
2020/21,288169.0,Aaron Ramsdale,Aaron,Ramsdale,G,1.0,Goalkeeper,n/a,n/a,33.0,26 years 101 days,England,2.0
2020/21,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Burnley,BUR,32.0,32 years 126 days,England,3.0
2020/21,314431.0,Alphonse Areola,Alphonse,Areola,G,23.0,Goalkeeper,Fulham,FUL,26.0,31 years 178 days,France,4.0
2020/21,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,26.0,39 years 127 days,Poland,4.0
2020/21,186584.0,Illan Meslier,Illan,Meslier,G,1.0,Goalkeeper,Leeds United,LEE,24.0,24 years 174 days,France,6.0
2020/21,25178.0,Hugo Lloris,Hugo,Lloris,G,1.0,Goalkeeper,n/a,n/a,23.0,37 years 241 days,France,7.0
2020/21,35190.0,Alex McCarthy,Alex,McCarthy,G,13.0,Goalkeeper,Southampton,SOU,23.0,34 years 264 days,England,7.0
2020/21,343670.0,Robert Sánchez,Robert,Sánchez,G,1.0,Goalkeeper,n/a,n/a,22.0,26 years 279 days,Spain,9.0
2020/21,280895.0,Rui Patrício,Rui Pedro,dos Santos Patrício,G,1.0,Goalkeeper,n/a,n/a,21.0,36 years 190 days,Portugal,10.0
2020/21,133131.0,Alisson Becker,Alisson Ramsés,Becker,G,1.0,Goalkeeper,Liverpool,LIV,20.0,31 years 326 days,Brazil,11.0
2020/21,314643.0,Sam Johnstone,Sam,Johnstone,G,32.0,Goalkeeper,West Bromwich Albion,WBA,20.0,31 years 151 days,England,11.0
